 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 5 (Pob.) ,360
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 6 (Pob.) ,172
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 7 (Pob.) ,136
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 8 (Pob.) ,100
 NIR [Negros Island Region] , Negros Occidental , City Of Talisay , Zone 9 (Pob.) ,76
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay I (Pob.) ,568
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Ii (Pob.) ,128
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Iii (Pob.) ,292
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Iv (Pob.) ,96
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Ix (Daan Banwa) ,1116
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay V (Pob.) ,152
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Vi (Pob.) ,1212
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Vi-A ,1524
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Vii (Pob.) ,216
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Viii (Pob.) ,1852
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay X (Estado) ,2312
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xi (Gawahon) ,1312
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xii ,1236
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xiii ,2100
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xiv ,1584
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xix ,492
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xix-A ,508
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xv ,24
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xv-A ,8
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xvi ,12
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xvi-A ,32
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xvii ,164
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xviii ,48
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xviii-A ,488
 NIR [Negros Island Region] , Negros Occidental , City Of Victorias , Barangay Xx ,2464
